area_name,path,us_state,url,lnglat
F: K Boulder,Dixon Springs State Park|Picnic Area Boulderfield|F: K Boulder,Illinois,https://www.mountainproject.com/area/109374038/k-boulder,"[-88.66993, 37.38535]"
E: Gill Boulder,Dixon Springs State Park|Picnic Area Boulderfield|E: Gill Boulder,Illinois,https://www.mountainproject.com/area/118898163/gill-boulder,"[-88.66966, 37.3853]"
Trinity Boulder,Cedar Bluff|E: Bouldering|Trinity Boulder,Illinois,https://www.mountainproject.com/area/110006382/trinity-boulder,"[-89.02539, 37.51799]"
Maynjo Boulder,Cedar Bluff|E: Bouldering|Maynjo Boulder,Illinois,https://www.mountainproject.com/area/110006394/maynjo-boulder,"[-89.02539, 37.51799]"
Tom Dooley Boulder,Alto Pass|F: Bouldering|Tom Dooley Boulder,Illinois,https://www.mountainproject.com/area/113830305/tom-dooley-boulder,"[-89.31601, 37.56778]"
Southern Overhang,Alto Pass|F: Bouldering|Southern Overhang,Illinois,https://www.mountainproject.com/area/112851604/southern-overhang,"[-89.31491, 37.56698]"
Railroad Boulder,Alto Pass|F: Bouldering|Railroad Boulder,Illinois,https://www.mountainproject.com/area/113830314/railroad-boulder,"[-89.31536, 37.56896]"
Bouldering Cave,Kankakee River|Kankakee River State Park|Bouldering Cave,Illinois,https://www.mountainproject.com/area/111108263/bouldering-cave,"[-87.98168, 41.20288]"
Wildcat Canyon,Ice Climbing|Starved Rock State Park|Wildcat Canyon,Illinois,https://www.mountainproject.com/area/120305180/wildcat-canyon,"[-88.98316, 41.3164]"
Tonti Canyon,Ice Climbing|Starved Rock State Park|Tonti Canyon,Illinois,https://www.mountainproject.com/area/120305166/tonti-canyon,"[-88.97383, 41.31144]"
C: The Orchards,Giant City State Park|C: Park Bouldering|C: The Orchards,Illinois,https://www.mountainproject.com/area/110301384/the-orchards,"[-89.19067, 37.56908]"
Ottawa Canyon,Ice Climbing|Starved Rock State Park|Ottawa Canyon,Illinois,https://www.mountainproject.com/area/120305151/ottawa-canyon,"[-88.94719, 41.30656]"
C: Devils Stand Table,Giant City State Park|B. Devils Standtable Area|C: Devils Stand Table,Illinois,https://www.mountainproject.com/area/109191325/devils-stand-table,"[-89.19133, 37.59952]"
B: The Ampitheater,Giant City State Park|B. Devils Standtable Area|B: The Ampitheater,Illinois,https://www.mountainproject.com/area/116567470/the-ampitheater,"[-89.19157, 37.60004]"
A: Gill Roof Area,Giant City State Park|B. Devils Standtable Area|A: Gill Roof Area,Illinois,https://www.mountainproject.com/area/114152517/gill-roof-area,"[-89.19336, 37.6005]"
B: Shelter 1,Giant City State Park|C: Park Bouldering|B: Shelter 1,Illinois,https://www.mountainproject.com/area/114152978/shelter-1,"[-89.2012, 37.62645]"
Other Canyons,Ice Climbing|Starved Rock State Park|Other Canyons,Illinois,https://www.mountainproject.com/area/120305148/other-canyons,"[-88.99308, 41.32064]"
Lasalle Canyon,Ice Climbing|Starved Rock State Park|Lasalle Canyon,Illinois,https://www.mountainproject.com/area/120305158/lasalle-canyon,"[-88.97122, 41.3111]"
Eye of Sauron Boulder,Alto Pass|F: Bouldering|Eye of Sauron Boulder,Illinois,https://www.mountainproject.com/area/113830234/eye-of-sauron-boulder,"[-89.31576, 37.56811]"
Creek Boulder,Alto Pass|F: Bouldering|Creek Boulder,Illinois,https://www.mountainproject.com/area/118810558/creek-boulder,"[-89.31586, 37.56955]"
Cliffside Bouldering,Alto Pass|F: Bouldering|Cliffside Bouldering,Illinois,https://www.mountainproject.com/area/113830357/cliffside-bouldering,"[-89.31594, 37.56922]"
420 Boulder,Alto Pass|F: Bouldering|420 Boulder,Illinois,https://www.mountainproject.com/area/113830296/420-boulder,"[-89.31527, 37.56831]"
Bouldering Cave,Cedar Bluff|E: Bouldering|Bouldering Cave,Illinois,https://www.mountainproject.com/area/110006430/bouldering-cave,"[-89.02539, 37.51799]"
D: Warm Up Boulder,Dixon Springs State Park|Picnic Area Boulderfield|D: Warm Up Boulder,Illinois,https://www.mountainproject.com/area/118898129/warm-up-boulder,"[-88.66984, 37.38519]"
C: Shipwreck Boulder,Dixon Springs State Park|Picnic Area Boulderfield|C: Shipwreck Boulder,Illinois,https://www.mountainproject.com/area/118984766/shipwreck-boulder,"[-88.6702, 37.38535]"
B: Roadside Boulder,Dixon Springs State Park|Picnic Area Boulderfield|B: Roadside Boulder,Illinois,https://www.mountainproject.com/area/116143951/roadside-boulder,"[-88.66984, 37.38494]"
A: Rebuttal Boulder,Dixon Springs State Park|Picnic Area Boulderfield|A: Rebuttal Boulder,Illinois,https://www.mountainproject.com/area/118898103/rebuttal-boulder,"[-88.6694, 37.38477]"
A. Shelter 1 Bluff,Giant City State Park|A. Shelter 1 Bluff,Illinois,https://www.mountainproject.com/area/106612641/shelter-1-bluff,"[-89.20137, 37.62644]"
Cemetery Wall,"Graveyard, The|Cemetery Wall",Illinois,https://www.mountainproject.com/area/109345949/cemetery-wall,"[-89.50903, 37.78206]"
