area_name,path,us_state,url,lnglat
"Sandtrap, The","Sand Rock|Sandtrap, The",Alabama,https://www.mountainproject.com/area/106231760/the-sandtrap,"[-85.817, 34.1804]"
Rocktoberfest,Little River Canyon|Tourist Wall|Rocktoberfest,Alabama,https://www.mountainproject.com/area/112789973/rocktoberfest,"[-85.65215, 34.36508]"
"Crazy House, The","Little River Canyon|Tourist Wall|Crazy House, The",Alabama,https://www.mountainproject.com/area/112790030/the-crazy-house,"[-85.65413, 34.36424]"
Crazy House Left,Little River Canyon|Tourist Wall|Crazy House Left,Alabama,https://www.mountainproject.com/area/118060520/crazy-house-left,"[-85.6536, 34.36341]"
Redneck Rhino Boulder,Sand Rock|Redneck Rhino Boulder,Alabama,https://www.mountainproject.com/area/109645119/redneck-rhino-boulder,"[-85.817, 34.1804]"
"Pinnacle, The","Sand Rock|Pinnacle, The",Alabama,https://www.mountainproject.com/area/105905193/the-pinnacle,"[-85.81775, 34.17948]"
New Wall (AKA Kurt Russell Block),Sand Rock|New Wall (AKA Kurt Russell Block),Alabama,https://www.mountainproject.com/area/108009724/new-wall-aka-kurt-russell-block,"[-85.81316, 34.18069]"
Jello Mold Boulder AKA B Minor Boulder,Sand Rock|Jello Mold Boulder AKA B Minor Boulder,Alabama,https://www.mountainproject.com/area/117681792/jello-mold-boulder-aka-b-minor-boulder,"[-85.8179, 34.17959]"
Jaws Block/West Side Rock,Sand Rock|Jaws Block/West Side Rock,Alabama,https://www.mountainproject.com/area/105943761/jaws-blockwest-side-rock,"[-85.81751, 34.1799]"
"Islands, The","Sand Rock|Islands, The",Alabama,https://www.mountainproject.com/area/106635356/the-islands,"[-85.81933, 34.1792]"
Holiday Block,Sand Rock|Holiday Block,Alabama,https://www.mountainproject.com/area/105915396/holiday-block,"[-85.8179, 34.17961]"
"Hole, The","Sand Rock|Hole, The",Alabama,https://www.mountainproject.com/area/106011943/the-hole,"[-85.81478, 34.18035]"
Grotto,Sand Rock|Grotto,Alabama,https://www.mountainproject.com/area/106302965/grotto,"[-85.81621, 34.18027]"
"Flintstone, The","Sand Rock|Flintstone, The",Alabama,https://www.mountainproject.com/area/105956440/the-flintstone,"[-85.81983, 34.17889]"
Fireplace Rock,Sand Rock|Fireplace Rock,Alabama,https://www.mountainproject.com/area/106188003/fireplace-rock,"[-85.817, 34.1804]"
Boy Scout Wall,Sand Rock|Boy Scout Wall,Alabama,https://www.mountainproject.com/area/116831464/boy-scout-wall,"[-85.81742, 34.17985]"
