area_name,path,us_state,url,lnglat
Inland Forest,CT Bouldering|Rocky Neck|Inland Forest,Connecticut,https://www.mountainproject.com/area/120959532/inland-forest,"[-72.24839, 41.30861]"
Barbara's Wall,CT Bouldering|Rocky Neck|Barbara's Wall,Connecticut,https://www.mountainproject.com/area/121348898/barbaras-wall,"[-72.24636, 41.29763]"
Red Trail North,CT Bouldering|Roosevelt Forest|Red Trail North,Connecticut,https://www.mountainproject.com/area/121688354/red-trail-north,"[-73.12831, 41.25233]"
Blue Trail Boulder,CT Bouldering|Roosevelt Forest|Blue Trail Boulder,Connecticut,https://www.mountainproject.com/area/121689212/blue-trail-boulder,"[-73.13081, 41.25368]"
Prime Climb Boulder,CT Bouldering|Prime Climb Boulder,Connecticut,https://www.mountainproject.com/area/118630935/prime-climb-boulder,"[-72.85853, 41.46391]"
"Preserve, The","CT Bouldering|Preserve, The",Connecticut,https://www.mountainproject.com/area/110469892/the-preserve,"[-72.40451, 41.31832]"
Pootatuck State Forest,CT Bouldering|Pootatuck State Forest,Connecticut,https://www.mountainproject.com/area/107404183/pootatuck-state-forest,"[-73.48665, 41.52263]"
Pleasant Hill Preserve,CT Bouldering|Pleasant Hill Preserve,Connecticut,https://www.mountainproject.com/area/108003868/pleasant-hill-preserve,"[-72.35, 41.4201]"
Platt Park Land Trust,CT Bouldering|Platt Park Land Trust,Connecticut,https://www.mountainproject.com/area/118724005/platt-park-land-trust,"[-73.24375, 41.4695]"
First Boulder,CT Bouldering|Richardson Park|First Boulder,Connecticut,https://www.mountainproject.com/area/118956781/first-boulder,"[-73.53032, 41.32336]"
Hole  2,"CT Bouldering|Quarry Park, Fair Haven Heights|Hole  2",Connecticut,https://www.mountainproject.com/area/107193212/hole-2,"[-72.8804, 41.302]"
Hole  1,"CT Bouldering|Quarry Park, Fair Haven Heights|Hole  1",Connecticut,https://www.mountainproject.com/area/107193184/hole-1,"[-72.8804, 41.302]"
Pickwick's Preserve,CT Bouldering|Pickwick's Preserve,Connecticut,https://www.mountainproject.com/area/108246885/pickwicks-preserve,"[-72.37376, 41.39675]"
Oswegatchie Hills,CT Bouldering|Oswegatchie Hills,Connecticut,https://www.mountainproject.com/area/119200869/oswegatchie-hills,"[-72.19692, 41.33923]"
Nells Rock Walking Trails,CT Bouldering|Nells Rock Walking Trails,Connecticut,https://www.mountainproject.com/area/118978098/nells-rock-walking-trails,"[-73.11816, 41.30267]"
Last Outcropping,CT Bouldering|Samp Mortar / Mt. Laurel|Mountain Laurel|Last Outcropping,Connecticut,https://www.mountainproject.com/area/107433966/last-outcropping,"[-73.26577, 41.18549]"
